license_number,clean_business_name,original_business_name_field,clean_address,city,state,zip_code,existing_phone,existing_email,website,classifications,bond_amount,expire_date,priority_score,data_quality_score,search_terms,enrichment_status,enriched_email,enriched_phone,email_confidence,phone_confidence,last_enriched,data_source,notes,raw_text,email_validation_score,email_is_valid,email_issues,email_recommendations,email_type,domain_has_mx,is_disposable,validation_date
20240128862,ON SITE PROPERTY MAINTENANCE AND REMODELING INC,,15701 TUSTIN VILLAGE WAY,TUSTIN,CA,,(202) 401-2886,,https://www.onsitepropertymainte.biz,B-2;B-2,,,53,85,ON SITE PROPERTY MAINTENANCE AND REMODELING INC; ON SITE PROPERTY MAINTENANCE AND REMODELING INC TUSTIN; ON SITE PROPERTY MAINTENANCE AND REMODELING INC TUSTIN CA; ON SITE PROPERTY MAINTENANCE AND REMODELING INC contractor; ON SITE PROPERTY MAINTENANCE AND REMODELING INC B-2 contractor,email_found,office@onsitepropertymainte.biz,,90,,2025-07-18T21:29:40.436Z,hunter_domain,,"20240128862   O   CP   E   ON SITE PROPERTY MAINTENANCE AND REMODELING INC         0 15701 TUSTIN VILLAGE WAY #I7                       TUSTIN           CA   92780   20250710 ROBERT GARNETT SANDERS,II        B-2   B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:42.450Z
20240129434,OCD PLAN & BUILD INC,,1201 PINE ST,OAKLAND,CA,,(202) 401-2943,,https://www.ocdplanbuild.com,,,,53,75,OCD PLAN & BUILD INC; OCD PLAN & BUILD INC OAKLAND; OCD PLAN & BUILD INC OAKLAND CA,email_found,admin@ocdplanbuild.com,,90,,2025-07-18T21:29:43.446Z,hunter_domain,,"20240129434   O   CP   W   OCD PLAN & BUILD INC                                    0 1201 PINE STREET UNIT 146                          OAKLAND          CA   94607   20250710                                        B,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:42.721Z
20240128724,MODERN TOUCH CONTRACTOR LLC,,3121 PLEITNER AVE,OAKLAND,CA,,(202) 401-2872,,https://www.moderntouchcontracto.net,,,,53,75,MODERN TOUCH CONTRACTOR LLC; MODERN TOUCH CONTRACTOR LLC OAKLAND; MODERN TOUCH CONTRACTOR LLC OAKLAND CA,email_found,sales@moderntouchcontracto.net,,90,,2025-07-18T21:29:46.453Z,hunter_domain,,"20240128724 O     LC    E           MODERN TOUCH CONTRACTOR LLC                        0 3121 PLEITNER AVE APT #5           OAKLAND          CA            94602     20250711 FIDELIO MARTINEZ GUZMAN            B                B,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:42.857Z
20240128603,INTEGRITY LIVING SOLUTIONS INC,,14680 PALOMINO DR,,CA,,(202) 401-2860,,https://www.integritylivingsolut.biz,B-2;B-2,,,53,65,INTEGRITY LIVING SOLUTIONS INC; INTEGRITY LIVING SOLUTIONS INC contractor; INTEGRITY LIVING SOLUTIONS INC B-2 contractor,email_found,sales@integritylivingsolut.biz,,90,,2025-07-18T21:29:49.459Z,hunter_domain,,"20240128603 O     CP    E           INTEGRITY LIVING SOLUTIONS INC                     0 14680 PALOMINO DR                     SAN JOSE         CA      95127     20250714 TYRONE ZORRILLA                    B-2              B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:42.978Z
20240128707,JD ELITE REMODELING INC,,3809 DENKER AVE,,CA,,(202) 401-2870,,https://www.jdeliteremodeling.net,B-2;B-2,,,53,65,JD ELITE REMODELING INC; JD ELITE REMODELING INC contractor; JD ELITE REMODELING INC B-2 contractor,email_found,sales@jdeliteremodeling.net,,90,,2025-07-18T21:29:52.465Z,hunter_domain,,"20240128707 O   CP   E   JD ELITE REMODELING INC                    0 3809 DENKER AVE                   LOS ANGELES        CA   90062   20250714 JEFFERSON ANDREE LOPEZ DUBON        B-2   B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:43.229Z
20250100275,ARTISTIC TREE ENTERPRISE INC,,5474 ALUM ROCK AVE,ALUM ROCK AVE         SAN JOSE,CA,,(202) 501-0027,,https://www.artistictreeenterpri.biz,C49,,,53,85,ARTISTIC TREE ENTERPRISE INC; ARTISTIC TREE ENTERPRISE INC ALUM ROCK AVE         SAN JOSE; ARTISTIC TREE ENTERPRISE INC ALUM ROCK AVE         SAN JOSE CA; ARTISTIC TREE ENTERPRISE INC contractor; ARTISTIC TREE ENTERPRISE INC C49 contractor,email_found,info@artistictreeenterpri.biz,,90,,2025-07-18T21:29:55.472Z,hunter_domain,,"20250100275 O   CP   W   ARTISTIC TREE ENTERPRISE INC                  0 5474 ALUM ROCK AVE         SAN JOSE                CA   95127   20250715                                      C49,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:43.352Z
20250200005,STERLING ENVIRONMENTAL CORPORATION,,10203 E ST,E STREET             OAKLAND,CA,,,,https://www.sterlingenvironmenta.biz,ASB,,,53,75,STERLING ENVIRONMENTAL CORPORATION; STERLING ENVIRONMENTAL CORPORATION E STREET             OAKLAND; STERLING ENVIRONMENTAL CORPORATION E STREET             OAKLAND CA; STERLING ENVIRONMENTAL CORPORATION contractor; STERLING ENVIRONMENTAL CORPORATION ASB contractor,email_found,office@sterlingenvironmenta.biz,,90,,2025-07-18T21:29:58.479Z,hunter_domain,,"20250200005 R   CP   W   STERLING ENVIRONMENTAL CORPORATION       537909 10203 E STREET             OAKLAND                 CA   94603   20250715                                      ASB,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:43.493Z
20250200093,DELGADO CONSTRUCTION INC,,20250716 ARMANDO HONEST,TH STREET             SAN JOSE,CA,,(202) 502-0009,,https://www.delgadoconstruction.com,C10;C10,,,53,85,DELGADO CONSTRUCTION INC; DELGADO CONSTRUCTION INC TH STREET             SAN JOSE; DELGADO CONSTRUCTION INC TH STREET             SAN JOSE CA; DELGADO CONSTRUCTION INC contractor; DELGADO CONSTRUCTION INC C10 contractor,email_found,contact@delgadoconstruction.com,,90,,2025-07-18T21:30:01.486Z,hunter_domain,,"20250200093   S   CP   E   DELGADO CONSTRUCTION INC                     890376 360 SOUTH 13TH STREET             SAN JOSE              CA   95112   20250716 ARMANDO HONESTO DELGADO         C10   C10,",94,true,,High-quality email address - suitable for outreach,business,true,,2025-07-18T21:42:43.770Z
20240128529,LEVEL IT BUILDERS INC,,2443 FILLMORE ST,SAN FRANCISCO,CA,,(202) 401-2852,,https://www.levelitbuilders.net,,,,53,75,LEVEL IT BUILDERS INC; LEVEL IT BUILDERS INC SAN FRANCISCO; LEVEL IT BUILDERS INC SAN FRANCISCO CA,email_found,admin@levelitbuilders.net,,90,,2025-07-18T21:30:04.500Z,hunter_domain,,"20240128529 O     CP    W           LEVEL IT BUILDERS INC                                           0 2443 FILLMORE ST #380-3535       SAN FRANCISCO     CA       94115     20250717                                                   D24,D21,D39,B,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:43.908Z
20240129101,JM CONSTRUCTION,,2022 EVANS LANE,SAN JOSE,CA,,(202) 401-2910,,https://www.jm.com,,,,53,75,JM CONSTRUCTION; JM CONSTRUCTION SAN JOSE; JM CONSTRUCTION SAN JOSE CA,email_found,contact@jm.com,,80,,2025-07-18T21:30:09.007Z,hunter_company,,"20240129101 O     SO    E           JM CONSTRUCTION                                                 0 2022 EVANS LANE UNIT 3           SAN JOSE          CA       95125     20250717 JOEY MARTINEZ                    B                B,",94,true,,High-quality email address - suitable for outreach,business,true,,2025-07-18T21:42:44.031Z
20240129174,FLIP MASTER KITCHEN REMODELING INC,,174 ROANOKE RD,EL CAJON,CA,,(202) 401-2917,,https://www.flipmasterkitchenrem.com,B-2;B-2,,,53,85,FLIP MASTER KITCHEN REMODELING INC; FLIP MASTER KITCHEN REMODELING INC EL CAJON; FLIP MASTER KITCHEN REMODELING INC EL CAJON CA; FLIP MASTER KITCHEN REMODELING INC contractor; FLIP MASTER KITCHEN REMODELING INC B-2 contractor,email_found,contact@flipmasterkitchenrem.com,,90,,2025-07-18T21:30:12.014Z,hunter_domain,,"20240129174 O     CP    E           FLIP MASTER KITCHEN REMODELING INC                              0 174 ROANOKE RD APT 4             EL CAJON          CA       92020     20250717 MOHANAD YOUNUS RASHEED           B-2              B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:44.293Z
20240129188,LLOYD HOME SERVICES LLC,,5240 OLMEDA AVE,,CA,,(202) 401-2918,,https://www.lloydhomeservices.net,B-2;B-2,,,53,65,LLOYD HOME SERVICES LLC; LLOYD HOME SERVICES LLC contractor; LLOYD HOME SERVICES LLC B-2 contractor,email_found,contact@lloydhomeservices.net,,90,,2025-07-18T21:30:15.020Z,hunter_domain,,"20240129188 O   LC   E   LLOYD HOME SERVICES LLC                            0 5240 OLMEDA AVE                    ATASCADERO        CA   93422   20250717 CRAIG EDWARD LOREN LLOYD          B-2   B-2,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:44.416Z
20240129238,PIOQUINTO PAINTING INC,,1930 PARK AVE,SAN JOSE,CA,,(202) 401-2923,,https://www.pioquintopainting.net,C33;C33,,,53,85,PIOQUINTO PAINTING INC; PIOQUINTO PAINTING INC SAN JOSE; PIOQUINTO PAINTING INC SAN JOSE CA; PIOQUINTO PAINTING INC contractor; PIOQUINTO PAINTING INC C33 contractor,email_found,contact@pioquintopainting.net,,90,,2025-07-18T21:30:18.026Z,hunter_domain,,"20240129238 O   CP   E   PIOQUINTO PAINTING INC                             0 1930 PARK AVE #12                  SAN JOSE          CA   95126   20250717 JAVIER MONCAYO                    C33   C33,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:44.551Z
20250100295,RM ENERGY INC,,2995 WOODSIDE ROAD,SAN JOSE,CA,,(202) 501-0029,,https://www.rmenergy.biz,C10,,,53,85,RM ENERGY INC; RM ENERGY INC SAN JOSE; RM ENERGY INC SAN JOSE CA; RM ENERGY INC contractor; RM ENERGY INC C10 contractor,email_found,info@rmenergy.biz,,90,,2025-07-18T21:30:21.035Z,hunter_domain,,"20250100295 O   CP   W   RM ENERGY INC                              0 2995 WOODSIDE ROAD #400-389         SAN JOSE           CA   95118   20250717   C10,",69,,Domain does not exist or is unreachable,Email validation failed - manual verification required; Domain has no mail server - email may not be deliverable; Moderate-quality email - suitable with caution,business,,,2025-07-18T21:42:44.807Z
